COMP1110:COMP1600,Score
Science:Recursion,-0.03577464788732394
Science:Function (mathematics),-0.02593398227201044
Science:Predicate (mathematical logic),-0.02659486329743165
Science:First-order logic,-0.014234342223554089
Science:Calculus,-0.041036046789209836
Science:Natural deduction,-0.006798483206933912
Science:Deductive reasoning,-0.057998738700861883
Science:Recursive definition,-0.07317073170731707
Science:Concept,-0.06849331281808499
Science:Mathematics,-0.01371922306908785
Science:Mathematical logic,-0.012502776913849024
Science:Mathematical proof,-0.056402784523231345
Science:Well-formed formula,0.0028169014084507044
Science:Proposition,-0.05820376806292299
Science:Argument,-0.06059399877526026
Science:Data,-0.06851698425849213
Science:Definition,-0.01791862284820031
Science:Data type,-0.020174283108724288
Science:Computation,-0.013288426209430496
Science:Discrete mathematics,-0.02083799870351818
Science:Hoare logic,-0.020833333333333332
Science:Description,-0.022824124232574936
Science:Regular language,0.0
Science:Language,0.0034142698972629212
Science:English language,-0.011230171728042675
Science:Regular expression,-0.005
Science:Structural induction,-0.03125
Science:Mathematical induction,-0.05336287387244817
Science:Formal language,-0.01818631084754139
Science:Theory,-0.07618399217054593
Science:Formal grammar,-0.007679409792085848
Science:Finite set,-0.02666666666666667
Science:Finite-state machine,-0.05042016806722689
Science:Determinism,-0.06433897502663036
Science:Nondeterministic finite automaton,-0.02
Science:Data structure,-0.021279484133717972
Science:Structure,-0.054496208017334784
Science:Principle,-0.048911651728553135
Science:Turing machine,-0.01190368014538846
Science:Machine,-0.022704790616609356
Science:Computing,-0.02898245085486179
Science:System,-0.09486105824133995
Science:Specification (technical standard),-0.040268456375838924
Science:Software,-0.0009004848764719471
Science:Rigour,-0.12434607645875251
Science:Logic,0.03234019501625135
Science:Context-free grammar,-0.014720581553839164
Science:Grammar,-0.024193760695011186
Discipline:Recursion,0.0
Discipline:Function (mathematics),0.0
Discipline:Predicate (mathematical logic),0.0
Discipline:First-order logic,0.0
Discipline:Calculus,0.01703930760908763
Discipline:Natural deduction,0.0
Discipline:Deductive reasoning,0.0
Discipline:Recursive definition,0.0
Discipline:Concept,0.0425531914893617
Discipline:Mathematics,-0.004987531172069825
Discipline:Mathematical logic,0.0
Discipline:Mathematical proof,0.02127659574468085
Discipline:Well-formed formula,0.0
Discipline:Proposition,0.0
Discipline:Argument,-0.010869565217391304
Discipline:Data,0.0
Discipline:Definition,0.0
Discipline:Data type,0.0
Discipline:Computation,0.0
Discipline:Discrete mathematics,-0.008368200836820083
Discipline:Hoare logic,0.0
Discipline:Description,0.0
Discipline:Regular language,0.0
Discipline:Language,0.0425531914893617
Discipline:English language,0.0
Discipline:Regular expression,0.0
Discipline:Structural induction,0.0
Discipline:Mathematical induction,0.0
Discipline:Formal language,0.02127659574468085
Discipline:Theory,0.015234299672173298
Discipline:Formal grammar,0.0
Discipline:Finite set,0.0
Discipline:Finite-state machine,0.0
Discipline:Determinism,0.0
Discipline:Nondeterministic finite automaton,0.0
Discipline:Data structure,0.0
Discipline:Structure,0.0
Discipline:Principle,0.0
Discipline:Turing machine,0.0
Discipline:Machine,0.0
Discipline:Computing,-0.0106951871657754
Discipline:System,0.014519838987924093
